change_id,change_type,owning_team,environment,delta_response_time,delta_error_rate,delta_timeout,impact
CHG-1000,DB Change,Application Team,Production,216.85866189350543,5.9431139994980775,2.3333333333333335,1
CHG-1001,Config Update,Database Team,Production,235.57902522750726,2.8397899434000617,4.333333333333333,1
CHG-1002,Deployment,Database Team,Production,92.53779256108237,1.2542065343671236,3.0,1
CHG-1003,DB Change,Application Team,Production,429.74629738463994,18.413736354095704,5.0,1
CHG-1004,Deployment,Infrastructure Team,Production,34.722035815225354,1.1113957186476375,2.333333333333333,1
CHG-1005,Config Update,Database Team,Production,111.12802158294818,1.388583376215503,-0.33333333333333337,1
CHG-1006,Deployment,Infrastructure Team,Production,74.69146530199299,1.1275055418994182,1.8333333333333333,1
CHG-1007,DB Change,Infrastructure Team,Production,102.5286983274454,2.027152520460329,2.3333333333333335,1
CHG-1008,Deployment,Infrastructure Team,Production,-468.45707903490666,-24.704312471124087,-4.238095238095237,0
CHG-1009,Config Update,Application Team,Production,7.2327995137857215,-0.13984470041961483,-0.5,0
CHG-1010,Infra Scaling,Infrastructure Team,Production,-59.61668972586335,-1.6369614746626029,0.833333333333333,0
CHG-1011,Deployment,Database Team,Production,131.5960541224104,3.3920337810616408,5.166666666666666,1
CHG-1012,Infra Scaling,Application Team,Production,-10.437418945687625,1.195295143745052,1.3333333333333335,1
CHG-1013,DB Change,Database Team,Production,149.1717982899337,8.069420989464472,2.2142857142857135,1
CHG-1014,Infra Scaling,Database Team,Production,-59.90263900165803,-0.9919464663142499,-1.9047619047619047,0
CHG-1015,Infra Scaling,Infrastructure Team,Production,-43.192962888862496,-0.3203676998967363,-0.4285714285714286,0
CHG-1016,DB Change,Application Team,Production,163.201020764796,2.376178598792664,1.6666666666666667,1
CHG-1017,Infra Scaling,Database Team,Production,-59.90263900165803,-0.9919464663142499,-1.9047619047619047,0
CHG-1018,Infra Scaling,Infrastructure Team,Production,9.249283337082034,0.010491918891574414,0.6666666666666667,0
CHG-1019,DB Change,Infrastructure Team,Production,146.90223920188475,2.0144529425390347,2.4523809523809526,1
CHG-1020,Deployment,Database Team,Production,-20.3449878685841,1.2476894510850878,1.5000000000000004,1
CHG-1021,Deployment,Database Team,Production,49.136521178859596,0.9912764977247737,2.0,1
CHG-1022,DB Change,Infrastructure Team,Production,-78.23904780874,-1.8887595441372729,1.5,0
CHG-1023,DB Change,Infrastructure Team,Production,0.206303292857001,0.6881371057357288,0.5,0
CHG-1024,Infra Scaling,Database Team,Production,1.9873108732413982,-1.4935915048524957,-1.3333333333333333,0
CHG-1025,DB Change,Infrastructure Team,Production,13.830978268198464,0.7769292493142744,1.0,0
CHG-1026,Infra Scaling,Database Team,Production,-5.4563505536766,-0.9024614521515824,-0.33333333333333326,0
CHG-1027,Deployment,Application Team,Production,135.81384596239877,2.133540875648961,3.4999999999999996,1
CHG-1028,Infra Scaling,Database Team,Production,161.56556116770366,2.284315650390787,5.333333333333333,1
CHG-1029,Config Update,Application Team,Production,30.21916273736707,-0.02790551000523256,-0.47619047619047616,0
CHG-1030,Config Update,Application Team,Production,30.63851229978735,0.21113590907124347,-0.33333333333333326,0
CHG-1031,Infra Scaling,Application Team,Production,-10.655237765066829,-1.619462957993473,-0.8333333333333335,0
CHG-1032,Infra Scaling,Infrastructure Team,Production,-34.66372421154716,-0.3711055097983412,-0.33333333333333337,0
CHG-1033,Config Update,Application Team,Production,9.473352666279936,2.2394136413715273,0.16666666666666607,1
CHG-1034,Deployment,Database Team,Production,97.4764824109954,2.829216444531516,3.5,1
CHG-1035,Infra Scaling,Application Team,Production,-81.49849332349226,-0.11361283499686647,-0.16666666666666674,0
CHG-1036,Deployment,Infrastructure Team,Production,50.115102563585566,0.1455650844456351,0.2142857142857143,1
CHG-1037,DB Change,Database Team,Production,94.78244929451961,2.135054735921301,2.3333333333333335,1
